Lørenskog	Pirat	0.4	68
Lørenskog	Krist	0.2	43
Lørenskog	DLF	0.0	9
Lørenskog	KrS	0.0	7
Lørenskog	Kyst	0.0	7
Lørenskog	Dem	0.0	3
Lørenskog	Samf	0.0	2
Lørenskog	Blanke	0.4	77
Nannestad	Ap	32.9	1985
Nannestad	Frp	23.8	1433
Nannestad	H	23.5	1418
Nannestad	Sp	6.1	370
Nannestad	KrF	4.0	240
Nannestad	V	3.8	231
Nannestad	SV	1.9	115
Nannestad	MDG	1.9	114
Nannestad	Pp	0.5	31
Nannestad	R	0.5	29
Nannestad	Krist	0.4	26
Nannestad	Pirat	0.3	17
Nannestad	KrS	0.1	7
Nannestad	DLF	0.1	6
Nannestad	Kyst	0.1	4
Nannestad	Dem	0.0	3
Nannestad	Samf	0.0	2
Nannestad	Blanke	0.6	35
Nes (Akershus)	Ap	36.0	4004
Nes (Akershus)	H	22.5	2503
Nes (Akershus)	Frp	21.2	2362
Nes (Akershus)	Sp	6.7	747
Nes (Akershus)	V	4.0	448
Nes (Akershus)	KrF	3.3	367
Nes (Akershus)	SV	2.1	237
Nes (Akershus)	MDG	2.1	233
Nes (Akershus)	R	0.6	70
Nes (Akershus)	Pp	0.5	53
Nes (Akershus)	Krist	0.4	47
Nes (Akershus)	Pirat	0.4	42
Nes (Akershus)	DLF	0.1	7
Nes (Akershus)	Dem	0.0	5
Nes (Akershus)	Samf	0.0	3
Nes (Akershus)	KrS	0.0	2
Nes (Akershus)	Kyst	0.0	2
Nes (Akershus)	Blanke	0.6	63
Nesodden	H	26.7	2826
Nesodden	Ap	26.1	2760
Nesodden	Frp	12.0	1265
Nesodden	MDG	10.2	1080
Nesodden	SV	9.3	984
Nesodden	V	7.6	803
Nesodden	KrF	3.7	387
Nesodden	R	2.2	235
Nesodden	Sp	1.1	118
Nesodden	Pirat	0.3	35
Nesodden	Pp	0.3	27
Nesodden	Krist	0.2	22
Nesodden	Dem	0.1	11
Nesodden	DLF	0.0	4
Nesodden	KrS	0.0	3
Nesodden	Kyst	0.0	3
Nesodden	Samf	0.0	2
Nesodden	Blanke	0.4	41
Nittedal	Ap	31.6	4005
Nittedal	H	30.4	3850
Nittedal	Frp	19.5	2468
Nittedal	V	5.5	695
Nittedal	SV	3.8	485
Nittedal	KrF	2.8	359
